Sample ID,Sample Type,Pre-pooling DNA (ng/uL),Total Reads,Observed ASVs,Breakaway Estimate of Richness,Breakaway Error,Shannon Sample-Wise,Shannon Error
OVI104,Egg Water,6.3,20472,29,29.2244898,2.747299532,1.818125574,0.008954831
OVI105,Egg Water,5,12535,42,42.09489051,2.454891606,2.358626099,0.018571489
OVI106,Egg Water,4.05,17822,38,38.47179443,0.739353234,2.194297294,0.007381709
OVI107,Egg Water,3.39,12522,73,91.91350525,117.4109651,2.475939096,0.021749653
OVI108,Egg Water,0.138,3675,61,61.29763033,3.923245695,2.972703692,0.016621612
OVI109,Egg Water,0.782,23839,73,73.13449621,0.379486713,2.507074232,0.009643914
OVI11,Individual Generation 1 Female,0.891,5131,88,88.16261946,0.419739603,2.37251645,0.013038388
OVI110,Egg Water,0.187,4033,56,56.1970992,0.46767654,2.804644581,0.012966271
OVI111,Egg Water,0.262,3521,51,51.0636663,3.427138309,2.655974195,0.026862495
OVI113,Egg Water,0.2,2150,51,51.40967036,0.683294986,2.537439085,0.019572628
OVI114,Pupation Water,0.256,4092,45,45.82147007,0.97368784,1.581763018,0.034132019
OVI13,Individual Generation 1 Female,2.07,2298,61,61.45900319,0.752329823,2.842926709,0.010279176
OVI137,Arrested Water,1.6,12619,65,65.79115475,3.006721422,2.764987229,0.016128779
OVI138,Arrested Water,1.85,14172,79,79.36525444,0.658928275,2.671888526,0.020885198
OVI139,Arrested Water,3.73,17195,90,90.14694319,0.411276121,2.925391434,0.015727853
OVI14,Individual Generation 1 Female,0.373,2088,44,44.03305452,0.183249065,2.83440479,0.025502911
OVI140,Arrested Water,0.207,2975,50,51.54837564,2.049154956,2.515584566,0.021246876
OVI145,Egg Water,1.19,24476,64,64.40546872,0.709018536,2.664275398,0.011050521
OVI146,Egg Water,1.62,18209,31,31.18965517,1.989866714,2.04729154,0.004829472
OVI147,Egg Water,7,5147,15,15.09090909,1.930224775,0.693225064,0.012202892
OVI148,Egg Water,2.85,7177,14,14.0106253,0.104309797,1.389943279,0.024899862
OVI149,Egg Water,6.5,22255,10,10.00252281,0.05067492,1.238531549,0.00796628
OVI150,Egg Water,3.32,9161,29,29.13675372,0.382708004,1.587198381,0.011820945
OVI151,Egg Water,6,16247,63,63.11068078,0.350973251,2.58557278,0.002372849
OVI152,Egg Water,2.12,22420,78,78.1964422,0.466619703,2.454244983,0.016667589
OVI153,Egg Water,2.66,15645,12,12.125,1.585843665,1.49070643,0.004638702
OVI154,Egg Water,4.25,26736,28,28.04045691,0.211732848,2.230151036,0.004302594
OVI156,Egg Water,2.96,19366,82,82.24682019,0.530791185,3.03106629,0.004334815
OVI157,Egg Water,1.99,13322,75,75.27214085,0.538510613,2.909606965,0.006172536
OVI158,Egg Water,6.1,12733,14,14.18986038,0.495740601,1.644301856,0.006197171
OVI159,Egg Water,1.6,18505,86,98.9644271,74.93671638,3.287396274,0.009542545
OVI162,Pupation Water,2,1594,14,14.125,1.621400882,1.79733509,0.020612203
OVI163,Pupation Water,1.06,3266,24,24.11291065,0.34598952,1.904586354,0.024943064
OVI17,Generation 1 Male Pool,2.34,4857,5,5.18986038,0.495740601,0.245277182,0.01598686
OVI172,Individual Generation 1 Female,1.1,41015,14,14.49815189,0.792611642,0.445758802,0.006462603
OVI175,Generation 1 Male Pool,0.537,1183,19,19.35808194,0.636810853,0.799574113,0.069086633
OVI184,Individual Generation 1 Female,0.676,4460,29,29.17840175,0.440530595,0.416893679,0.022516265
OVI19,Generation 1 Male Pool,7.5,15725,5,5.455935605,0.871100386,0.035739169,0.001882662
OVI191,Pupation Water,0.186,1915,56,56.25,3.15,3.133489983,0.018536045
OVI192,Pupation Water,1.74,5803,78,82.18819349,5.508593902,2.964534099,0.01558358
OVI2,Individual Generation 1 Female,2.27,7745,124,126.0448307,2.000419308,3.132517753,0.026256642
OVI20,Generation 1 Male Pool,3.82,18479,16,16.33861641,0.619838015,0.217189548,0.008490429
OVI21,Generation 1 Male Pool,4.04,12250,5,5.005398959,0.073965663,0.060987535,0.003178583
OVI22,Generation 1 Male Pool,8.8,9984,7,7.023697008,0.159096058,1.221081597,0.004980276
OVI23,Generation 1 Male Pool,10,14826,7,7.060685363,0.259318719,0.561947285,0.004856403
OVI26,Egg Water,1.49,4818,5,5.187867068,0.479855719,0.088816549,0.009302163
OVI27,Egg Water,6.4,12907,7,7.00033648,0.018371204,1.496141236,0.00503121
OVI28,Egg Water,4.68,6402,9,9.061809492,0.259045281,1.253159072,0.007945242
OVI29,Egg Water,9.1,6791,4,4,0,1.045924895,0.00880065
OVI30,Egg Water,8.2,14906,7,7.18986038,0.495740601,1.274897148,0.006480609
OVI31,Egg Water,7.8,10462,33,33.06585693,0.266031198,2.679911224,0.01212353
OVI34,Pupation Water,0.783,1999,10,10.12820513,1.64709865,0.328276197,0.045663041
OVI36,Pupation Water,13,8924,6,6,0,1.360908464,0.009750872
OVI37,Pupation Water,0.789,2152,23,23.08196721,2.420565477,1.86965912,0.027925765
OVI38,Pupation Water,3.86,1781,11,11.08151071,0.298032911,1.227479913,0.024840732
OVI39,Pupation Water,2.89,2612,37,37.14893617,2.158177904,2.494431533,0.011333294
OVI4,Individual Generation 1 Female,5.5,13817,6,6.125,1.313744551,0.034205538,0.003474033
OVI49,Individual Generation 1 Female,0.439,2553,62,62.04978467,0.228603414,2.27269527,0.025602395
OVI5,Individual Generation 1 Female,1.4,14351,5,5.087572077,0.317158261,0.144395249,0.0039685
OVI50,Generation 1 Male Pool,1.67,1190,61,62.03452566,1.264723755,3.476390433,0.063763104
OVI51,Generation 1 Male Pool,1.73,2633,94,94.43933966,0.737527973,3.894670396,0.005171564
OVI53,Generation 1 Male Pool,0.599,2335,48,49.60117503,2.629914874,2.557237743,0.012072701
OVI55,Generation 1 Male Pool,0.491,2894,55,88.18042019,94.35887301,2.835029393,0.040142311
OVI56,Generation 1 Male Pool,0.671,1319,39,42.54833583,4.61733881,2.270384614,0.025621306
OVI59,Egg Water,5.2,17400,12,12.06180949,0.259045281,1.50316937,0.005174491
OVI6,Individual Generation 1 Female,0.327,3178,34,34.99000402,1.203231255,0.913344131,0.035667357
OVI60,Egg Water,3.5,19204,14,14.14893617,1.870197634,1.321059318,0.007809936
OVI61,Egg Water,0.607,4855,40,40.48395551,0.740168323,2.189153992,0.020542331
OVI62,Egg Water,2.03,6480,7,7.19735466,0.485341148,0.141498348,0.010249246
OVI63,Egg Water,1.26,3820,15,15.21127604,0.498270184,1.91627377,0.027655659
OVI65,Egg Water,6.8,17759,14,14.02022845,0.149717732,1.935702704,0.004372686
OVI66,Egg Water,4.89,12179,8,8.24052501,0.606873346,1.057931771,0.0053779
OVI67,Egg Water,5,9107,14,14.46662466,0.795084723,1.666862254,0.012073057
OVI71,Pupation Water,0.443,2063,33,33.06939202,0.272206414,2.098071809,0.03872623
OVI72,Pupation Water,0.162,1319,30,30.73239437,2.972909653,1.868985424,0.028585241
OVI74,Pupation Water,1.47,13684,39,39.59478377,0.827431362,2.208655997,0.005880641
OVI75,Pupation Water,1.23,1392,13,13.07692585,0.286073156,0.748746479,0.049626474
OVI8,Individual Generation 1 Female,0.203,1375,49,49.43987115,0.737505925,2.70182948,0.044182214
OVI81,Individual Generation 1 Female,0.236,446,13,13.51562828,1.021313262,1.637604489,0.065877207
OVI90,Generation 1 Male Pool,0.538,2711,40,40.08310212,0.296912792,2.943360424,0.016614806
OVI98,Generation 1 Male Pool,0.544,2020,63,63.27851147,0.5631876,2.231233959,0.059977728
OVI99,Generation 1 Male Pool,0.387,1638,44,44.06383531,0.260639485,2.0698507,0.02559143
