ASV,Phylum,Class,Order,Family,Genus,Species,Conventional vs Parental,Lab vs Parental,Lab vs Conventional,P:L (1:1) vs P:L (10:1),Uncolonized vs Colonized
0b453a53e2df847f29fff727f12323fd,Proteobacteria,Alphaproteobacteria,Sneathiellales_505174,Sneathiellaceae_505174,Taonella,Taonella mepensis,NA,NA,NA,-7.777793916,NA
0bbe0ac853b20fb81326081587a428ca,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Gordonia_B_376796,Genus_Gordonia_B_376796,NA,NA,NA,NA,3.45955045
0d0e3101171c782e1ede9e291ab9c7bc,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_504705,Xanthobacteraceae_503485,Family_Xanthobacteraceae_503485,Family_Xanthobacteraceae_503485,NA,NA,6.561798065,5.392665455,NA
107aa7e6b56274803bffd1ccff5b2ee6,Proteobacteria,Gammaproteobacteria,Pseudomonadales_660879,Moraxellaceae,Acinetobacter,Genus_Acinetobacter,NA,-6.165740503,-12.70660528,NA,NA
10e1bfa5ae7b9bf452990cac517cd318,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Family_Microbacteriaceae,Family_Microbacteriaceae,NA,7.377515046,NA,NA,NA
121315c06a067f6269edce1ae068f427,Proteobacteria,Gammaproteobacteria,Burkholderiales_597441,Chromobacteriaceae,Chromobacterium,Genus_Chromobacterium,12.5538657,NA,NA,6.390402075,NA
1b158b8b2922d4fcad5d9cea607cbb7d,Proteobacteria,Gammaproteobacteria,Enterobacterales_A_737866,Enterobacteriaceae_A,Escherichia_710834,Genus_Escherichia_710834,NA,NA,NA,6.691128261,NA
21bb29e5efa273470d9600c0c0ad287b,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_504705,Xanthobacteraceae_503485,Starkeya,Starkeya novella,NA,NA,NA,NA,7.671292984
274b25ca87d226e1ec1b3648758ff5a8,Proteobacteria,Alphaproteobacteria,Rhizobiales_A_504705,Xanthobacteraceae_503485,Aquabacter,Aquabacter cavernae,NA,5.789532762,10.02886896,5.79839976,NA
290d00e82b7625c8ab79f9ad9ce480b8,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis,Asticcacaulis benevestitus,NA,NA,NA,-5.717520442,NA
2cc644320579becdf2e1b9cb5278fb85,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc_B,Leuconostoc_B falkenbergense,NA,NA,7.298349212,NA,NA
30cfacf248039e5b1f840115bff89215,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,Phenylobacterium koreense,-2.183804574,NA,7.717299025,1.2188003,NA
