ASV,Phylum,Class,Order,Family,Genus,Maternal ASV (hatch),Egg Water ASV (hatch),Paternal ASV (hatch),Maternal ASV (pupation),Paternal ASV (pupation),Egg Water ASV (pupation),Late Water ASV (pupation),Egg Water ASV (survival),Late Water ASV (survival)
007a17b7f6b93558bb5f8826ea983056,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,0.449040411,NA,NA,NA,NA,NA,NA,NA,NA
02e56876b3ffcda6cda97654505279f2,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,0.449040411,NA,NA,-1.057563452,NA,0.786230455,NA,NA,NA
074e66f75650948b8df12cfe2ffb5f37,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,-0.243094914,NA,NA,NA,NA,NA,NA,NA,NA
078778d3acf6645f2e44537dc6529871,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Leucobacter,0.449040411,NA,NA,NA,NA,NA,NA,NA,NA
08a23647e8c11cd7f89ee8f609e3d974,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Elizabethkingia,NA,NA,NA,NA,-1.030753919,0.568575361,NA,-0.623219257,NA
08cc46b8779c43b1872292e0d97a0890,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Family_Burkholderiaceae,NA,NA,NA,NA,-0.871021992,0.584732183,NA,NA,NA
09196c1b7c03aa87afab1ee719db02c5,Firmicutes,Clostridia,Oscillospirales,Acutalibacteraceae,Caproiciproducens,-0.293250604,NA,NA,NA,NA,NA,NA,NA,NA
09f74334ddd0008931d05c020c8d7730,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Thauera,0.431112014,NA,NA,NA,NA,NA,NA,NA,NA
0c96f776da7051d25f4fd62ba69ba324,Proteobacteria,Alphaproteobacteria,Rhodospirillales,UXAT02,Defluviicoccus,NA,NA,NA,NA,NA,NA,1.035152759,NA,NA
0cf33eb4b86b224b3c158207fb9c8c48,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Family_Rhodobacteraceae,-0.528590647,NA,NA,NA,NA,NA,NA,NA,NA
0cf4077d7201a18548a12acd3e1d505b,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Asaia,0.449040411,NA,NA,NA,NA,NA,NA,NA,NA
0d0e3101171c782e1ede9e291ab9c7bc,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Family_Xanthobacteraceae,NA,NA,NA,-0.6586191,NA,NA,NA,NA,NA
0d2508498ea77db8224ea5b23ead964c,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,0.449040411,NA,NA,NA,NA,NA,NA,NA,NA
0d87b112bc336b97248bf4757a668689,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA,NA,0.213619947,NA,NA,NA,NA,NA,NA
0e96f958bdaf9979b03aa574d7299f4c,Firmicutes,Bacilli,Bacillales,Bacillaceae,Family_Bacillaceae,-0.445618726,NA,NA,NA,NA,NA,NA,NA,NA
0eb8e63cb8f7cb7aa58b403dc29da7de,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,-0.402334902,NA,NA,NA,NA,NA,NA,NA,NA
0f41f629bff75e5c7f99d537e6792647,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,-0.316716653,NA,NA,NA,NA,NA,NA,NA,NA
0f6f614f608389925a848e37b2a8a24b,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Alkanindiges,0.449040411,NA,NA,NA,NA,NA,NA,NA,NA
10108d29ee667e6f5b413c7bbaf7991d,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,NA,NA,-0.527540996,-0.711881572,NA,NA,NA,-0.410557247,NA
107aa7e6b56274803bffd1ccff5b2ee6,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,-0.372319743,NA,NA,NA,NA,-0.159330154,NA,NA,NA
1187d3f6bbc3c560b79f47cf9ad873bd,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,0.234168344,NA,NA,-0.827296767,NA,NA,NA,NA,NA
1189d4ef3af60ba943cc73161a4097a9,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,-0.418748206,NA,NA,NA,NA,NA,NA,NA,NA
1339efc8323a6ca9365c11eac6c4bd6b,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Moheibacter,0.449040411,NA,NA,NA,NA,NA,NA,NA,NA
1369aba02dd8b749b4c4c2a799d34207,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,-0.298344836,NA,NA,NA,NA,NA,-0.758512789,0.474357843,NA
13f32eba3b63edbbf5169bf74a696b73,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium,0.449040411,NA,NA,NA,NA,NA,NA,NA,NA
16469cc40587771b7602fa59352c70ab,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Family_Burkholderiaceae,0.12630105,NA,NA,NA,NA,NA,NA,NA,NA
1747759a3f6af9d88fa2c80ac81f3c9e,Actinobacteriota,Actinomycetia,Actinomycetales,Cellulomonadaceae,Cellulomonas,-0.598387719,NA,NA,NA,NA,NA,NA,-0.3062458,NA
18146030be7b9150c3633d1dee9e58a1,Firmicutes,Bacilli,Bacillales,Bacillaceae,Weizmannia,0.449040411,NA,NA,NA,NA,NA,NA,NA,NA
1b158b8b2922d4fcad5d9cea607cbb7d,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,0.357334806,NA,NA,NA,NA,NA,0.8098321,NA,NA
1bfa5c0bbafb3a1bff066a17234ff32e,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Massilia,0.403314316,NA,NA,NA,NA,NA,NA,NA,NA
1bfddc56f0549c7953359140bb8c64b1,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Serratia,NA,NA,NA,NA,-0.542323374,NA,NA,NA,NA
1d1533db28dba4af61f1d5cc6633f2fa,Proteobacteria,Gammaproteobacteria,Burkholderiales,Chromobacteriaceae,Aquitalea,NA,NA,NA,0.205590808,NA,NA,0.207430319,NA,NA
1e81258348c55daeef435f6100eee461,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Family_Enterobacteriaceae,0.449040411,NA,NA,NA,NA,NA,NA,NA,NA
1ed3de95a51db2df9676955423442d33,Firmicutes,Clostridia,Oscillospirales,Acutalibacteraceae,Caproiciproducens,-0.352778152,NA,NA,NA,NA,NA,NA,NA,NA
1ee27fee30b2e6832a2be5e28f0978f3,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Sediminibacterium,NA,NA,NA,NA,NA,-0.351850343,NA,NA,NA
20b485f14ad07fab0d10acad007b8b32,Firmicutes,Bacilli,DSM-16016,Caldibacillaceae,Bacillus,NA,NA,NA,NA,-0.91852372,NA,NA,NA,NA
2228925453f05f31ac661681aa9941d6,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseomonas,NA,NA,0.259620097,NA,NA,NA,NA,NA,NA
25378e41f19be3a40f90da3cc055bc9f,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Pseudoalteromonas,-0.480656052,NA,NA,NA,NA,0.903629731,NA,NA,NA
265de43fbbc0ebb4c8378e5404a8728c,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,NA,-0.106467896,NA,NA,-0.112158276,NA,NA,NA
26f1fe1d525ec8756078e905957888b6,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,NA,NA,NA,NA,NA,0.808392334,NA,-0.845083961,-4.54683667
274b25ca87d226e1ec1b3648758ff5a8,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Aquabacter,NA,NA,-0.28292947,-0.374820144,NA,NA,NA,NA,NA
279eac555b5f1c30ac8c5e5b6a9677df,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Family_Chthoniobacteraceae,0.449040411,NA,NA,NA,NA,NA,NA,NA,NA
290d00e82b7625c8ab79f9ad9ce480b8,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis,-0.418748206,NA,NA,NA,0.411254149,0.567322046,NA,NA,NA
2ad6256a8aa79756698ddd1b89ed7ad1,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,-0.217796417,NA,NA,NA,NA,NA,NA,0.183790208,0.719819669
2b287b7cad895a08304ba7f54625a9aa,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Family_Pseudomonadaceae,0.449040411,NA,NA,NA,NA,NA,NA,NA,NA
2bcc7082f4a29b154bcaa87cf00b4fe3,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,-0.480656052,NA,NA,NA,0.445713896,NA,NA,NA,NA
2c2b5fdb7648bebd4a42fe64b1a1287c,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,0.449040411,NA,NA,NA,NA,NA,NA,NA,NA
2d0d11f29cae22f945211c2fb8bd424c,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseococcus,0.449040411,NA,NA,NA,NA,NA,NA,NA,NA
2e4055a3568601599bde5e951c455dd9,Firmicutes,Bacilli,Class_Bacilli,Class_Bacilli,Class_Bacilli,NA,NA,NA,NA,NA,NA,1.164640606,NA,NA
30cfacf248039e5b1f840115bff89215,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,0.454129411,NA,NA,-0.866730017,NA,NA,NA,NA,NA
3190ea7b37383fa02f757f43964f9998,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,UBA1930,NA,NA,NA,NA,NA,0.654614021,NA,NA,NA
31f38e67c39e25a4a8b4583dc7cd8846,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Family_Xanthobacteraceae,NA,NA,0.259620097,NA,NA,NA,NA,NA,NA
331657258038535df96ea6665290782a,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Variovorax,0.449040411,NA,NA,NA,NA,NA,NA,NA,NA
33d5a2c7d222f0b503a88a922c1312e1,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Curtobacterium,0.449040411,NA,NA,NA,NA,NA,NA,NA,NA
33d7a7c0173453d98174432239cd49cb,Chloroflexota,Anaerolineae,Aggregatilineales,Aggregatilineaceae,Aggregatilinea,0.402659617,NA,NA,NA,NA,NA,NA,NA,NA
3667ca3d1270344578b3819b5f56731d,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,0.449040411,NA,NA,NA,NA,NA,NA,NA,NA
37863cca6aaaf72cfb33806cb9a46b76,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,0.449040411,NA,NA,NA,NA,NA,NA,NA,NA
37a94f2c75c2b99a250b3e459d040c9a,Chloroflexota,Dehalococcoidia,DSGV01,DSGV01,DSGV01,-0.37988469,NA,NA,NA,NA,NA,NA,NA,NA
38356624d04e633aa689a6ffc05a137f,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,-0.415255145,NA,NA,0.491070913,-0.667410649,-0.150490692,-0.644058905,NA,NA
38a438c0ac980ee192378b94dd688973,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Family_Burkholderiaceae,0.276183285,NA,NA,NA,NA,NA,NA,0.234507148,NA
38c2a261f81a7ed09f39ac6f9fd0cf2e,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Variovorax,-0.499088649,NA,NA,NA,NA,NA,NA,NA,NA
3901df51425ba2a8d72bb780babe7a48,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Niabella,0.449040411,NA,NA,NA,NA,NA,NA,NA,NA
394eeccf5a2a35b9e7c32243563eef03,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Family_Burkholderiaceae,NA,NA,0.28574775,NA,NA,NA,NA,NA,NA
3a416378a1ecba1f97e92b7154b3b91b,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rudaea,0.221573785,NA,NA,NA,NA,NA,NA,NA,NA
3a75074368d793b1de0d8090a6340a1c,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,Bact-08,NA,NA,0.338866945,NA,NA,NA,NA,NA,NA
3aaaf4f10492216973e1efd8f233a8ff,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,-0.397374282,NA,NA,NA,NA,NA,NA,NA,NA
3bd21c1f2b1ae487f30791218b8444c0,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Family_Caulobacteraceae,-0.233284463,NA,NA,NA,NA,NA,NA,NA,NA
3bdf3962a4d6b9738dc1bfa095f6cc8e,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,-0.206914316,NA,NA,NA,NA,NA,NA,-0.355559723,NA
3dd3157ed7ddbf7dc91392de6b888fbc,Spirochaetota,Spirochaetia,Treponematales,Treponemataceae,Spiro-10,NA,NA,0.233484356,NA,NA,NA,NA,NA,NA
3e00a33b844a56c2e00acedeffc43b5e,Proteobacteria,Alphaproteobacteria,Class_Alphaproteobacteria,Class_Alphaproteobacteria,Class_Alphaproteobacteria,0.449040411,NA,NA,NA,NA,NA,NA,NA,NA
3e112563e0ef973d16a7554ff4166b12,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Family_Sphingomonadaceae,NA,NA,0.250544764,NA,NA,NA,NA,NA,NA
3e4ef7b82401136b6a3729a771f4825b,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium,0.449040411,NA,NA,NA,NA,NA,NA,NA,NA
3ea027ac9c30306db8fd5fd74cf30c63,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,-0.598387719,NA,NA,NA,NA,NA,NA,NA,NA
438dc2a2ea2405a782df5830ae62100e,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,-0.233284463,0.127843839,NA,0.537153067,NA,NA,NA,0.288374921,0.523644364
43f41dd4045f31804b91facdd53eab41,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,NA,NA,NA,NA,NA,NA,0.228561468,NA,NA
4472b8a122f7775d492278da34a2c780,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Empedobacter,0.449040411,NA,NA,NA,NA,NA,NA,NA,NA
44d2df836124b3a024baa940060336ea,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Family_Enterobacteriaceae,0.449040411,NA,NA,NA,NA,NA,NA,NA,NA
4810fbab877c32e917880c61301fe5e1,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,QFOI01,-0.598387719,NA,NA,NA,NA,NA,NA,NA,NA
49bc4395980e4ae5228b71f31433b928,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Variovorax,0.221573785,NA,NA,NA,NA,NA,NA,NA,NA
4a765a31e0cf23936b0d98af5f0b7b81,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,0.449040411,NA,NA,NA,NA,NA,NA,NA,NA
4ca76612b5cecf33d2c41ec0a47779ed,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Family_Burkholderiaceae,-0.132728712,NA,NA,NA,0.193337847,0.122114022,0.177368465,NA,-0.247478702
4e5677a5d38222d4cc8bc32aa53bf4c5,Firmicutes,Bacilli,Lactobacillales,Order_Lactobacillales,Order_Lactobacillales,0.449040411,NA,NA,NA,NA,NA,NA,NA,NA
4e6dc966ff878651c691ea5e0ae83425,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Leucobacter,NA,NA,NA,NA,NA,0.466637442,0.281519804,NA,NA
50327287c87739f3f9f69fbd4be61170,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Family_Chitinophagaceae,NA,NA,NA,NA,0.445850796,NA,NA,NA,NA
