ASV,Phylum,Class,Order,Family,Genus,Larvae Zero vs High Day 12,Rearing Water 48-hr vs 12-Day,Rearing Water Field vs High Day 12,Rearing Water Zero vs High Day 12
05aa7504ae1491c3c73957616e21d667, Proteobacteria, Gammaproteobacteria, Burkholderiales_592524, Burkholderiaceae_A_580492, Ralstonia,,,,4.493998515
064adc0178077427f1b5ae6466e533e0, Proteobacteria, Gammaproteobacteria, Pseudomonadales_650611, Pseudomonadaceae, Pseudomonas_E_647464,,-5.146298948,,
078e07341411500f82ac4ecb0e8d9599, Firmicutes_A, Clostridia_258483, Clostridiales, Clostridiaceae_222000, Clostridium_T,,-2.446768729,,
09196c1b7c03aa87afab1ee719db02c5, Firmicutes_A, Clostridia_258483, Oscillospirales, Acutalibacteraceae, Caproiciproducens,,6.575859421,,-2.683168868
0f41f629bff75e5c7f99d537e6792647, Bacteroidota, Bacteroidia, Bacteroidales, Dysgonomonadaceae, Dysgonomonas,,5.982341706,,
10e1bfa5ae7b9bf452990cac517cd318, Actinobacteriota, Actinomycetia, Actinomycetales, Microbacteriaceae,Family_ Microbacteriaceae,4.875921891,1.395284688,4.914182836,6.042959123
1369aba02dd8b749b4c4c2a799d34207, Proteobacteria, Alphaproteobacteria, Caulobacterales, Caulobacteraceae, Brevundimonas,,3.762832732,,
16469cc40587771b7602fa59352c70ab, Proteobacteria, Gammaproteobacteria, Burkholderiales_592524, Burkholderiaceae_A_580492,Family_ Burkholderiaceae_A_580492,,-2.087654868,,
1bfa5c0bbafb3a1bff066a17234ff32e, Proteobacteria, Gammaproteobacteria, Burkholderiales_592524, Burkholderiaceae_A_574758, Massilia,,-2.220892685,,
1e81258348c55daeef435f6100eee461, Proteobacteria, Gammaproteobacteria, Enterobacterales_A_737866, Enterobacteriaceae_A,Family_ Enterobacteriaceae_A,,,,-5.729195594
1ed3de95a51db2df9676955423442d33, Firmicutes_A, Clostridia_258483, Oscillospirales, Acutalibacteraceae, Caproiciproducens,,5.069868742,,
290d00e82b7625c8ab79f9ad9ce480b8, Proteobacteria, Alphaproteobacteria, Caulobacterales, Caulobacteraceae, Asticcacaulis,,5.612420275,-3.310164073,-5.066731157
2ad6256a8aa79756698ddd1b89ed7ad1, Proteobacteria, Alphaproteobacteria, Rhizobiales_A_504705, Beijerinckiaceae, Bosea,,9.151869203,,
2bcc7082f4a29b154bcaa87cf00b4fe3, Proteobacteria, Alphaproteobacteria, Rhizobiales_A_504705, Beijerinckiaceae, Bosea,,3.982438473,,4.275930936
3289116d2e168152c151e2d37acc40a6, Bacteroidota, Bacteroidia, Chitinophagales, Chitinophagaceae_966727, QFOI01,,5.845255663,,2.197283119
331657258038535df96ea6665290782a, Proteobacteria, Gammaproteobacteria, Burkholderiales_592522, Burkholderiaceae_A_592522, Variovorax,,,11.14784036,9.034488734
