,Sample ID,Treatment,Sample Type,Pre-pooling DNA (ng/uL),Total Reads,Observed ASVs,Breakaway Estimate of Richness,Breakaway Error,Shannon Sample-Wise,Shannon Error
44,GNO78,cnv,late larval water,3.47,6088,71,71.04842259,0.225381066,2.641561261,0.019920285
45,GNO79,cnv,late larval water,3.97,12243,65,65.07871231,0.292184533,2.310573154,0.022472659
47,GNO80,cnv,late larval water,3.79,29875,107,108.2778538,1.285777649,2.635743784,0.009992768
48,GNO81,cnv,late larval water,2.15,7990,80,80.1037011,0.330485625,2.097582722,0.009100951
49,GNO82,cnv,late larval water,1.46,12342,109,109.1989337,0.461024654,2.752580699,0.019669924
50,GNO83,cnv,late larval water,2.48,59607,186,188.2824123,6.982325151,3.250793023,0.004162393
28,GNO57,cnv stock,stock,4.25,6117,38,38.16950381,0.444776372,0.530605691,0.021865357
3,GNO100,col_field,late larval water,1.35,13533,87,87.54545857,0.801233293,2.360803506,0.007931388
60,GNO95,col_field,late larval water,0.572,21455,93,94.2801336,4.953574549,1.962825889,0.007725851
61,GNO96,col_field,late larval water,2.11,33199,101,102.5398013,4.081269215,2.79977762,0.009075036
62,GNO97,col_field,late larval water,3.13,67462,104,104.319227,0.7116742,2.098846586,0.008866661
63,GNO98,col_field,late larval water,2.98,25950,101,103.5374437,4.747407778,2.138258773,0.007331049
64,GNO99,col_field,late larval water,4.16,21470,84,84.07098806,0.275763203,2.276219254,0.015488338
7,GNO26,lab,late larval water,23,48978,51,51.27252685,0.556377869,1.855573692,0.005295238
8,GNO27,lab,late larval water,4.75,37452,43,43.36401483,0.631229654,1.643166146,0.005786655
9,GNO28,lab,late larval water,40,2933,44,44.07993216,0.29375219,2.110193311,0.028193241
10,GNO29,lab,late larval water,29,8859,41,41.1979431,0.471496552,1.557351327,0.014105046
12,GNO30,lab,late larval water,16,17070,43,43.06806482,0.269757238,1.673428142,0.010359149
13,GNO31,lab,late larval water,11,18324,49,49.06660156,0.266409179,1.578395288,0.01181745
33,GNO65,lab,adult,0.763,6067,43,43.46927975,0.714922606,1.464331952,0.019397989
30,GNO59,lab stock,stock,4.78,63449,26,26.23529412,2.622366008,1.448647463,0.002729287
1,GNO1,mom,late larval water,1.16,16951,92,92.73541342,0.966808543,2.779119986,0.015551592
