"","OTU","destination","shared","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","006d5eda86c251132cd2272afd51d053","lost","lost","Bacteria","Actinobacteriota","Actinomycetia","Mycobacteriales","Mycobacteriaceae","Mycobacterium","Genus_Mycobacterium"
"2","007a17b7f6b93558bb5f8826ea983056","lost","lost","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","Genus_Stenotrophomonas_A_615274"
"3","02e56876b3ffcda6cda97654505279f2","both","shared","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter","Genus_Caulobacter_487784"
"4","064adc0178077427f1b5ae6466e533e0","lost","lost","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Genus_Pseudomonas_E_647464"
"5","073d0c62d1257a783d7508c138432fc4","lost","lost","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Family_Enterobacteriaceae","Family_Enterobacteriaceae_A"
"6","074e66f75650948b8df12cfe2ffb5f37","lost","lost","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Genus_Pedobacter_887417"
"7","078778d3acf6645f2e44537dc6529871","lost","lost","Bacteria","Actinobacteriota","Actinomycetia","Actinomycetales","Microbacteriaceae","Leucobacter","Genus_Leucobacter"
"8","08a23647e8c11cd7f89ee8f609e3d974","both","shared","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Elizabethkingia","Elizabethkingiameningoseptica"
"9","08cc46b8779c43b1872292e0d97a0890","both","shared","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Family_Burkholderiaceae","Family_Burkholderiaceae_A_592522"
"10","09196c1b7c03aa87afab1ee719db02c5","lost","lost","Bacteria","Firmicutes","Clostridia","Oscillospirales","Acutalibacteraceae","Caproiciproducens","Caproiciproducenssp000752215"
