,Start_date,Trial,Microbial_Background,Density,Well,Total_Larvae,Pupated,Died,micro_den
1,7/17/2023,1,Parental,Early Field Average,1,10,0.4,0.3,Parental Early Field Average
2,7/17/2023,1,Parental,Early Field Average,2,10,0.5,0.1,Parental Early Field Average
3,7/17/2023,1,Parental,Early Field Average,3,10,0.4,0.2,Parental Early Field Average
4,7/17/2023,1,Parental,Early Field Average,4,10,0.6,0.1,Parental Early Field Average
5,7/17/2023,1,Parental,Early Field Average,5,10,0.4,0.4,Parental Early Field Average
6,7/17/2023,1,Parental,Early Field Average,6,10,0.6,0.2,Parental Early Field Average
7,7/17/2023,1,Lab,Early Field Average,1,10,0.1,0.6,Lab Early Field Average
8,7/17/2023,1,Lab,Early Field Average,2,10,0,0.5,Lab Early Field Average
9,7/17/2023,1,Lab,Early Field Average,3,10,0.2,0.5,Lab Early Field Average
10,7/17/2023,1,Lab,Early Field Average,4,10,0.3,0.6,Lab Early Field Average
11,7/17/2023,1,Lab,Early Field Average,5,10,0.2,0.6,Lab Early Field Average
12,7/17/2023,1,Lab,Early Field Average,6,10,0.4,0.4,Lab Early Field Average
13,7/17/2023,1,Parental:Lab (1:1),Early Field Average,1,10,0,1,Parental:Lab (1:1) Early Field Average
14,7/17/2023,1,Parental:Lab (1:1),Early Field Average,2,10,0,1,Parental:Lab (1:1) Early Field Average
15,7/17/2023,1,Parental:Lab (1:1),Early Field Average,3,10,0.1,0.9,Parental:Lab (1:1) Early Field Average
16,7/17/2023,1,Parental:Lab (1:1),Early Field Average,4,10,0,1,Parental:Lab (1:1) Early Field Average
17,7/17/2023,1,Parental:Lab (1:1),Early Field Average,5,10,0,1,Parental:Lab (1:1) Early Field Average
18,7/17/2023,1,Parental:Lab (1:1),Early Field Average,6,10,0.1,0.9,Parental:Lab (1:1) Early Field Average
19,7/23/2023,2,Parental:Lab (10:1),Early Field Average,1,10,0.4,0.2,Parental:Lab (10:1) Early Field Average
20,7/23/2023,2,Parental:Lab (10:1),Early Field Average,2,10,0.3,0.6,Parental:Lab (10:1) Early Field Average
21,7/23/2023,2,Parental:Lab (10:1),Early Field Average,3,10,0.3,0.2,Parental:Lab (10:1) Early Field Average
22,7/23/2023,2,Parental:Lab (10:1),Early Field Average,4,10,0.4,0.5,Parental:Lab (10:1) Early Field Average
