Pitcher_ID,Treatment,Volume_present_mL,Avg_density,log
1,Colonized,3,4210000.00,6.624282096
2,Uncolonized,1.5,2430000.00,6.385606274
3,Uncolonized,7,221000.00,5.344392274
4,Uncolonized,4,29700.00,4.472756449
5,Uncolonized,NA,3330000.00,6.522444234
6,Colonized,6,620000.00,5.792391689
7,Uncolonized,19.5,1430000.00,6.155336037
8,Colonized,3,8870000.00,6.94792362
9,Uncolonized,3,813000.00,5.910090546
10,Uncolonized,2,1010000.00,6.004321374
11,Uncolonized,2,1370000.00,6.136720567
12,Uncolonized,3,24200.00,4.383815366
13,Uncolonized,4,820000.00,5.913813852
14,Uncolonized,2,422000.00,5.625312451
15,Uncolonized,6,173000.00,5.238046103
16,Colonized,1,36700.00,4.564666064
17,Uncolonized,3,68000.00,4.832508913
18,Uncolonized,2,15700.00,4.195899652
19,Uncolonized,1.5,11500.00,4.06069784
20,Uncolonized,1,161000.00,5.206825876
21,Uncolonized,5,6730000.00,6.828015064
22,Uncolonized,10,138000.00,5.139879086
23,Colonized,7,1160000.00,6.064457989
24,Uncolonized,5,213000.00,5.328379603
25,Colonized,13,385000.00,5.58546073
26,Uncolonized,5,21000.00,4.322219295
27,Uncolonized,3,252000.00,5.401400541
28,Uncolonized,2,16200.00,4.209515015
