"","Sample ID","Sample Type","Pre-pooling DNA (ng/uL)","Total Reads","Observed ASVs","Breakaway Estimate of Richness","Breakaway Error","Shannon Sample-Wise","Shannon Error"
"1","OVI102","Generation 1 Male Pool"," 0.272",1884,25,25.1675503711559,2.4467854936578,0.838610224719778,0.026901120768201
"2","OVI103","Individual Generation 1 Female"," 1.340",10666,30,30.0586060084654,0.248977800436641,0.923649623355552,0.00827556411903471
"3","OVI104","Egg Water"," 6.300",20472,29,29.2244897959184,2.74729953183159,1.81812557366735,0.00520883798069253
"4","OVI105","Egg Water"," 5.000",12535,42,42.0948905109489,2.45489160564425,2.35862609946329,0.0137796527696374
"5","OVI106","Egg Water"," 4.050",17822,38,38.4717944258506,0.739353233617502,2.19429729445418,0.0036946406112218
"6","OVI107","Egg Water"," 3.390",12522,73,91.9135052471208,117.410965143472,2.4759390961319,0.00543258826675896
"7","OVI108","Egg Water"," 0.138",3675,61,61.2976303317536,3.9232456953543,2.97270369234708,0.0115588350986107
"8","OVI109","Egg Water"," 0.782",23839,73,73.1344962052049,0.379486712586696,2.50707423197732,0.00213270549594614
"9","OVI11","Individual Generation 1 Female"," 0.891",5131,88,88.1626194638699,0.41973960227157,2.3725164498432,0.0243880631397263
"10","OVI110","Egg Water"," 0.187",4033,56,56.1970991999782,0.46767654006769,2.80464458062879,0.02262082246701
"11","OVI111","Egg Water"," 0.262",3521,51,51.0636663007684,3.42713830929163,2.65597419531484,0.0315331808528653
"12","OVI113","Egg Water"," 0.200",2150,51,51.4096703747929,0.683294997321051,2.53743908460301,0.0486662972570414
"13","OVI114","Pupation Water"," 0.256",4092,45,45.8214700683119,0.973687840387893,1.5817630183573,0.00983150176389608
"14","OVI13","Individual Generation 1 Female"," 2.070",2298,61,61.4590031935709,0.752329822765329,2.84292670888818,0.0315133225387043
"15","OVI137","Arrested Water"," 1.600",12619,65,65.7911547460847,3.00672142172925,2.7649872285473,0.0122431547058971
"16","OVI138","Arrested Water"," 1.850",14172,79,79.3652544414429,0.658928275206906,2.67188852564555,0.00666256960823233
"17","OVI139","Arrested Water"," 3.730",17195,90,90.1469431864243,0.411276122690811,2.92539143381803,0.00967459074101585
"18","OVI14","Individual Generation 1 Female"," 0.373",2088,44,44.0330545197776,0.183249064612711,2.83440479019238,0.0180080523200588
"19","OVI140","Arrested Water"," 0.207",2975,50,51.5483756410436,2.04915495589892,2.51558456648033,0.0239447574151744
"20","OVI145","Egg Water"," 1.190",24476,64,64.4054687191039,0.709018536452298,2.66427539759359,0.00608494077400766
"21","OVI146","Egg Water"," 1.620",18209,31,31.1896551724138,1.98986671423017,2.04729153977117,0.00507300207114158
"22","OVI147","Egg Water"," 7.000",5147,15,15.0909090909091,1.93022477457402,0.693225063743449,0.0151309680758711
"23","OVI148","Egg Water"," 2.850",7177,14,14.0106252997258,0.104309796756017,1.38994327866722,0.00948584514696168
"24","OVI149","Egg Water"," 6.500",22255,10,10.002522810054,0.0506749195582782,1.23853154856848,0.00458283932627906
"25","OVI150","Egg Water"," 3.320",9161,29,29.1367537162779,0.382708003756084,1.5871983805099,0.0234174579022385
"26","OVI151","Egg Water"," 6.000",16247,63,63.1106807808249,0.350973251315577,2.58557277987916,0.0120244768736428
"27","OVI152","Egg Water"," 2.120",22420,78,78.1964422018406,0.466619705865911,2.45424498284729,0.00797413045824562
"28","OVI153","Egg Water"," 2.660",15645,12,12.125,1.58584366469901,1.49070643034098,0.00903800188005545
"29","OVI154","Egg Water"," 4.250",26736,28,28.0404569084591,0.21173284772255,2.23015103589377,0.00425430883015141
"30","OVI155","Egg Water"," 4.310",18417,26,26.2888186422164,0.642997449827321,2.26588866353697,0.00300757082195446
"31","OVI156","Egg Water"," 2.960",19366,82,82.2468201874892,0.530791185449339,3.03106629013589,0.00812688935886739
"32","OVI157","Egg Water"," 1.990",13322,75,75.2721408522726,0.538510613171368,2.90960696538412,0.0141187322997224
"33","OVI158","Egg Water"," 6.100",12733,14,14.189860380412,0.495740600812522,1.64430185642686,0.00885856450045064
"34","OVI159","Egg Water"," 1.600",18505,86,98.9644237286073,74.9366355432014,3.28739627350376,0.0108009956988659
"35","OVI162","Pupation Water"," 2.000",1594,14,14.125,1.62140088151699,1.79733509003058,0.02685630709647
"36","OVI163","Pupation Water"," 1.060",3266,24,24.1129106450949,0.345989520202124,1.90458635387937,0.0290197408494556
"37","OVI17","Generation 1 Male Pool"," 2.340",4857,5,5.18986038041196,0.495740600812522,0.245277181896662,0.0148645807411855
"38","OVI172","Individual Generation 1 Female"," 1.100",41015,14,14.4981518942771,0.792611641674002,0.445758802123908,0.00186276496629691
"39","OVI175","Generation 1 Male Pool"," 0.537",1183,19,19.3580819425658,0.636810853357053,0.79957411319056,0.0302941004600498
"40","OVI18","Generation 1 Male Pool"," 1.150",1809,74,77.7066258377466,4.14008100476552,3.34866537371237,0.0260952046394526
"41","OVI184","Individual Generation 1 Female"," 0.676",4460,29,29.1784017452168,0.440530594876284,0.416893678631091,0.00623176557518053
"42","OVI19","Generation 1 Male Pool"," 7.500",15725,5,5.45593560512247,0.871100385589571,0.0357391689260753,0.00571993290390003
"43","OVI191","Pupation Water"," 0.186",1915,56,56.25,3.15,3.13348998339604,0.0193846724561033
