ASV,Phylum,Class,Order,Family,Genus,Coefficient of Maternal ASV (hatch),Coefficient of Egg Water ASV (hatch),Coefficient of Paternal ASV (hatch),Coefficient of Maternal ASV (pupation),Coefficient of Paternal ASV (pupation),Coefficient of Egg Water ASV (pupation),Coefficient of Late Water ASV (pupation),Coefficient of Egg Water ASV (survival),Coefficient of Late Water ASV (survival),Coefficient of Maternal ASV (survival),Coefficient of Paternal ASV (survival),Hatch Sample Type Conditionality,Pupation Sample Type Conditionality,Survival Sample Type Conditionality
006d5eda86c251132cd2272afd51d053,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,0.4121287,NA,NA,NA,NA,NA,NA,NA,15.55175417,12.53044652
007a17b7f6b93558bb5f8826ea983056,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,NA,NA,NA,-1.230830348,NA,NA,NA,NA,NA,NA,NA,NA,22.98187601,12.53044652
02e56876b3ffcda6cda97654505279f2,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,NA,NA,NA,-1.465765504,NA,0.786230453,NA,NA,NA,NA,NA,NA,38.78399057,NA
03612545acdb7cf43b56502e27456ddf,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Order_Vicinamibacterales,Order_Vicinamibacterales,NA,NA,NA,NA,-0.72752831,NA,NA,NA,NA,NA,NA,NA,7.412289842,NA
078778d3acf6645f2e44537dc6529871,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Leucobacter,NA,NA,NA,-1.229268952,NA,NA,NA,NA,NA,NA,NA,NA,22.91978444,12.53044652
08a23647e8c11cd7f89ee8f609e3d974,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Elizabethkingia,NA,NA,NA,NA,NA,0.568575361,NA,NA,NA,NA,NA,NA,24.27042705,NA
08cc46b8779c43b1872292e0d97a0890,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Family_Burkholderiaceae,NA,NA,NA,NA,NA,0.584732181,-0.679941106,NA,NA,NA,NA,NA,51.65520722,NA
09f74334ddd0008931d05c020c8d7730,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Thauera,0.414482957,NA,NA,-1.464990153,NA,NA,NA,NA,NA,NA,NA,NA,19.59275235,11.91362794
0c96f776da7051d25f4fd62ba69ba324,Proteobacteria,Alphaproteobacteria,Rhodospirillales,UXAT02,Defluviicoccus,NA,NA,NA,NA,NA,NA,1.462337789,NA,NA,NA,NA,NA,25.8314193,NA
0cf33eb4b86b224b3c158207fb9c8c48,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Family_Rhodobacteraceae,NA,NA,NA,0.7387608,NA,NA,NA,NA,NA,NA,NA,NA,8.445837032,13.29389957
0cf4077d7201a18548a12acd3e1d505b,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Asaia,NA,NA,NA,-1.235286181,NA,NA,NA,NA,NA,NA,NA,NA,23.12065902,12.53044652
0d0e3101171c782e1ede9e291ab9c7bc,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Family_Xanthobacteraceae,NA,NA,NA,-0.758528106,NA,NA,NA,NA,NA,NA,NA,NA,15.21806051,17.49433858
0d87b112bc336b97248bf4757a668689,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA,NA,0.213619947,NA,0.337908831,NA,NA,NA,NA,NA,NA,15.08083336,NA,28.56061038
0e96f958bdaf9979b03aa574d7299f4c,Firmicutes,Bacilli,Bacillales,Bacillaceae,Family_Bacillaceae,NA,NA,NA,0.972954326,NA,NA,NA,NA,NA,NA,NA,NA,10.57860473,13.44517973
0eb8e63cb8f7cb7aa58b403dc29da7de,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,-0.402334901,NA,NA,0.338706857,NA,NA,NA,NA,NA,NA,NA,NA,20.99673341,11.52968541
10108d29ee667e6f5b413c7bbaf7991d,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,NA,NA,-0.743295935,-0.883017545,NA,NA,NA,NA,NA,-1.039926288,-1.588471368,NA,NA,28.70694869
107aa7e6b56274803bffd1ccff5b2ee6,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,-0.372319741,NA,-0.183320941,0.256382977,NA,-0.159330153,-0.497804527,NA,NA,-0.391366031,NA,25.10532141,39.72556424,NA
10cde2fa4db56b195187e547f870d34b,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Tepidiphilus,NA,NA,NA,NA,-0.685287374,NA,NA,NA,NA,NA,NA,NA,4.991364668,8.28080744
1187d3f6bbc3c560b79f47cf9ad873bd,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,NA,NA,NA,-1.248565975,NA,NA,NA,NA,NA,NA,NA,NA,17.31976022,NA
131f8b9807185e055d725c468cd46a88,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Family_Microbacteriaceae,NA,NA,NA,NA,0.564870571,NA,NA,NA,NA,NA,NA,NA,16.39647556,12.53044652
1369aba02dd8b749b4c4c2a799d34207,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,NA,NA,0.490936238,-0.333812078,0.444538873,NA,NA,NA,NA,NA,NA,15.45727188,NA,NA
16469cc40587771b7602fa59352c70ab,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Family_Burkholderiaceae,NA,NA,NA,NA,NA,NA,0.385028245,NA,NA,NA,NA,NA,23.57320658,NA
1b158b8b2922d4fcad5d9cea607cbb7d,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,0.352904413,NA,NA,NA,NA,NA,1.038869915,NA,NA,NA,NA,15.28453976,23.16890385,NA
