Set.ID,Trial,Generation,Cage,Sex,Length..mm.,egg,mom,dad,pup
1C8,1,G2,C8,F,2.023,OVI29,OVI7,OVI21,OVI37
1C8,1,G2,C8,M,1.963,OVI29,OVI7,OVI21,OVI37
1C8,1,G2,C8,M,1.805,OVI29,OVI7,OVI21,OVI37
1C8,1,G2,C8,M,2.031,OVI29,OVI7,OVI21,OVI37
1C8,1,G2,C8,M,2.089,OVI29,OVI7,OVI21,OVI37
1C8,1,G2,C8,M,1.876,OVI29,OVI7,OVI21,OVI37
1C11,1,G2,C11,F,NA,OVI30,OVI2,OVI22,OVI38
1C11,1,G2,C11,M,2.063,OVI30,OVI2,OVI22,OVI38
1C11,1,G2,C11,M,1.906,OVI30,OVI2,OVI22,OVI38
1C11,1,G2,C11,F,1.865,OVI30,OVI2,OVI22,OVI38
1C3,1,G2,C3,M,1.624,OVI26,OVI1,OVI17,OVI34
1C7,1,G2,C7,F,1.927,OVI28,OVI6,OVI20,OVI36
2C8,2,G2,C8,M,2.018,NA,NA,NA,OVI75
2C8,2,G2,C8,M,1.909,NA,NA,NA,OVI75
2C8,2,G2,C8,F,1.794,NA,NA,NA,OVI75
2C8,2,G2,C8,F,1.932,NA,NA,NA,OVI75
2C8,2,G2,C8,F,2.104,NA,NA,NA,OVI75
2C8,2,G2,C8,M,1.869,NA,NA,NA,OVI75
2C8,2,G2,C8,M,1.934,NA,NA,NA,OVI75
2C8,2,G2,C8,F,2.123,NA,NA,NA,OVI75
2C1,2,G2,C1,F,1.845,NA,OVI49,OVI50,OVI69
2C1,2,G2,C1,M,1.836,NA,OVI49,OVI50,OVI69
2C1,2,G2,C1,F,1.964,NA,OVI49,OVI50,OVI69
2C1,2,G2,C1,M,1.938,NA,OVI49,OVI50,OVI69
2C1,2,G2,C1,M,1.963,NA,OVI49,OVI50,OVI69
2C1,2,G2,C1,F,1.851,NA,OVI49,OVI50,OVI69
2C1,2,G2,C1,F,2.054,NA,OVI49,OVI50,OVI69
2C3,2,G2,C3,F,1.9,OVI61,OVI8,OVI52,OVI71
2C3,2,G2,C3,M,1.79,OVI61,OVI8,OVI52,OVI71
2C3,2,G2,C3,F,1.818,OVI61,OVI8,OVI52,OVI71
2C3,2,G2,C3,F,2.222,OVI61,OVI8,OVI52,OVI71
2C3,2,G2,C3,M,1.999,OVI61,OVI8,OVI52,OVI71
2C3,2,G2,C3,F,1.879,OVI61,OVI8,OVI52,OVI71
2C7,2,G2,C7,M,1.764,OVI65,OVI15,OVI56,OVI74
2C7,2,G2,C7,M,1.973,OVI65,OVI15,OVI56,OVI74
2C7,2,G2,C7,M,1.961,OVI65,OVI15,OVI56,OVI74
2C7,2,G2,C7,M,1.921,OVI65,OVI15,OVI56,OVI74
2C7,2,G2,C7,M,1.76,OVI65,OVI15,OVI56,OVI74
2C11,2,G2,C11,M,1.842,OVI68,OVI12,OVI58,OVI77
2C11,2,G2,C11,M,1.831,OVI68,OVI12,OVI58,OVI77
2C11,2,G2,C11,M,1.887,OVI68,OVI12,OVI58,OVI77
2C11,2,G2,C11,M,1.783,OVI68,OVI12,OVI58,OVI77
2C11,2,G2,C11,M,1.776,OVI68,OVI12,OVI58,OVI77
2C11,2,G2,C11,M,1.674,OVI68,OVI12,OVI58,OVI77
