pup.day,Set.ID
14,1C8
14,1C8
14,1C8
17,1C8
17,1C8
17,1C8
19,1C8
21,1C8
18,1C3
18,1C7
15,1C6
16,1C11
17,1C11
18,1C11
19,1C11
12,2C8
13,2C8
13,2C8
13,2C8
13,2C8
14,2C8
14,2C8
16,2C8
13,2C1
13,2C1
13,2C1
13,2C1
16,2C1
24,2C1
12,2C3
13,2C3
13,2C3
17,2C3
17,2C3
20,2C3
20,2C3
12,2C7
13,2C7
13,2C7
14,2C7
17,2C7
13,2C11
13,2C11
13,2C11
14,2C11
14,2C11
15,2C11
17,2C11
21,2C11
12,3C11
15,3C11
12,3C1
13,3C1
13,3C1
14,3C1
15,3C1
16,3C1
24,3C1
11,3C9
11,3C9
12,3C9
14,3C9
14,3C9
21,3C9
14,4C2
14,4C3
13,4C4
16,4C7
18,4C7
15,4C11
12,4C12
13,4C12
16,4C12
21,4C12
12,4C14
13,4C14
18,4C14
21,4C14
12,4C15
16,4C15
18,4C15
18,4C15
19,4C15
20,4C15
20,4C15
21,4C15
14,4C16
14,4C16
14,4C16
23,4C16
14,4C17
14,4C17
16,4C17
18,4C17
16,4C24
