,identifier,Post_Quant,Sample_or_Control,exp,ovi_round,ovi_sample_type,ovi_no_individuals,ovi_trial,ovi_gen,ovi_sex,ovi_date,ovi_cage,Mom_Wing_Length_mm,Tot_Eggs,Eggs_Post_Sterile,Egg_Hatch,Hatch_Rate,CFU_Eggs,Log_CFU_Eggs,Tot_Larvae,Tot_Died,Tot_Arrested,Tot_Pupated,Tot_Fourths,early,pupation_rate,death_rate,fourth_rate,early_rate
OVI191,C11 Trial 4,0.186,Sample,ovi,2,Pupation Water,NA,4,1,NA,6_13_23,11,2.359,54,54,41,0.759259259,2.03e+08,8.307496038,8,0,7,1,8,0,0.125,0,1,0
OVI107,C5 Trial 3,3.39,Sample,ovi,1,Egg Water,NA,3,1,NA,8_11_22,5,2.519,62,62,52,0.83871,57300000,7.758155,10,1,9,0,9,0,0,0.1,0.9,0
OVI145,C2 Trial 4,1.19,Sample,ovi,2,Egg Water,NA,4,1,NA,6_13_23,2,2.344,46,46,32,0.695652174,92900000,7.968015714,10,0,9,1,10,0,0.1,0,1,0
OVI50,C1 Trial 2,1.67,Sample,ovi,1,Generation 1 Male Pool,3,2,1,male,7_26_22,1,2.495,37,37,NA,NA,1.7e+08,8.230449,11,0,6,5,11,0,0.454545455,0,1,0
OVI81,C1 Trial 3,0.236,Sample,ovi,1,Individual Generation 1 Female,1,3,1,female,8_10_22,1,2.457,45,45,40,0.888889,2.03e+08,8.307496,10,2,2,8,10,0,0.8,0,1,0
OVI56,C7 Trial 2,0.671,Sample,ovi,1,Generation 1 Male Pool,3,2,1,male,7_27_22,7,2.542,57,57,NA,NA,66800000,7.824776,10,1,3,6,9,0,0.6,0.1,0.9,0
OVI175,C15 Trial 4,0.537,Sample,ovi,2,Generation 1 Male Pool,3,4,1,NA,6_13_23,15,2.222,22,22,10,0.454545455,1.6e+08,8.204119983,8,0,1,7,7,1,0.875,0,0.875,0.125
OVI153,C17 Trial 4,2.66,Sample,ovi,2,Egg Water,NA,4,1,NA,6_13_23,17,2.344,58,58,47,0.810344828,2.08e+08,8.318063335,7,0,3,4,7,0,0.571428571,0,1,0
OVI53,C4 Trial 2,0.599,Sample,ovi,1,Generation 1 Male Pool,2,2,1,male,7_27_22,4,2.544,24,24,NA,NA,98300000,7.992554,10,2,8,0,8,0,0,0.2,0.8,0
OVI37,C8 Trial 1,0.789,Sample,ovi,1,Pupation Water,NA,1,2,NA,7_15_22,8,2.43,66,66,46,0.69697,NA,NA,12,0,5,7,12,0,0.583333333,0,1,0
OVI62,C4 Trial 2,2.03,Sample,ovi,1,Egg Water,NA,2,1,NA,7_27_22,4,2.544,24,24,NA,NA,98300000,7.992554,10,2,8,0,8,0,0,0.2,0.8,0
