Trial,Cumulative.Inputs,Condition,Mom,Cage,Set.ID,Mom_Wing_Length_mm,Tot_Eggs,Eggs_Post_Sterile,Egg_Hatch,Hatch_Rate,CFU_Eggs,Log_CFU_Eggs,Tot_Larvae,Tot_Died,Tot_Alive,Tot_Arrested,Tot_NotArrested,Tot_Pupated,Tot_NotPupated,Tot_Fourths,Tot_NotFourths,Proportion_Pupated,Proportion_Arrested,Proportion_Died,Proportion_Terminal_Instar,Proportion_Early,Proportion_Died_Exclude_Fourths,final_pup_graph,final_fourth_arr_graph,final_early_arr_graph,final_died_graph,Pupated,Arrested.Fourths,Arrested.Early,Died
1,maternal,M_S,3,C3,1C3,2.528,51,51,45,0.882353,NA,NA,10,4,6,4,6,2,8,6,4,0.2,0.4,0.4,0.6,0,0.4,2,4,0,4,0.2,0.4,0,0.4
1,maternal,M_S,6,C6,1C6,2.532,30,30,20,0.666667,36000000,7.56,10,2,8,7,3,1,9,8,2,0.1,0.7,0.2,0.8,0,0.2,1,7,0,2,0.1,0.7,0,0.2
1,maternal,M_S,7,C7,1C7,2.491,18,18,6,0.333333,NA,NA,10,9,1,0,10,1,9,1,9,0.1,0,0.9,0.1,0,0.9,1,0,0,9,0.1,0,0,0.9
1,maternal,M_S,8,C8,1C8,2.43,66,66,46,0.69697,NA,NA,12,0,12,5,7,7,5,12,0,0.583333333,0.416666667,0,1,0,0,7,5,0,0,0.583333333,0.416666667,0,0
1,maternal,M_S,11,C11,1C11,2.459,44,44,26,0.590909,11300000,7.05,10,2,8,3,7,5,5,8,2,0.5,0.3,0.2,0.8,0,0.2,5,3,0,2,0.5,0.3,0,0.2
1,maternal,M_S,12,C12,1C12,2.494,54,54,44,0.814815,21300000,7.33,11,0,11,11,0,0,11,11,0,0,1,0,1,0,0,0,11,0,0,0,1,0,0
2,maternal,M_S,13,C1,2C1,2.495,37,37,NA,NA,170000000,8.23,11,0,11,6,5,5,6,11,0,0.454545455,0.545454545,0,1,0,0,5,6,0,0,0.454545455,0.545454545,0,0
2,maternal,M_S,14,C2,2C2,2.433,36,36,NA,NA,377000000,8.58,11,0,11,11,0,0,11,11,0,0,1,0,1,0,0,0,11,0,0,0,1,0,0
2,maternal,M_S,15,C3,2C3,2.369,51,51,NA,NA,3370000,6.53,10,2,8,1,9,7,3,8,2,0.7,0.1,0.2,0.8,0,0.2,7,1,0,2,0.7,0.1,0,0.2
2,maternal,M_S,16,C4,2C4,2.544,24,24,NA,NA,98300000,7.99,10,2,8,8,2,0,10,8,2,0,0.8,0.2,0.8,0,0.2,0,8,0,2,0,0.8,0,0.2
2,maternal,M_S,18,C6,2C6,2.527,21,21,NA,NA,111000000,8.05,10,5,5,5,5,0,10,5,5,0,0.5,0.5,0.5,0,0.5,0,5,0,5,0,0.5,0,0.5
2,maternal,M_S,19,C7,2C7,2.542,57,57,NA,NA,66800000,7.82,10,1,9,3,7,6,4,9,1,0.6,0.3,0.1,0.9,0,0.1,6,3,0,1,0.6,0.3,0,0.1
2,maternal,M_S,20,C8,2C8,2.405,65,65,NA,NA,56700000,7.75,11,0,11,3,8,8,3,11,0,0.727272727,0.272727273,0,1,0,0,8,3,0,0,0.727272727,0.272727273,0,0
2,maternal,M_S,21,C9,2C9,2.575,42,42,NA,NA,113000000,8.05,12,2,10,10,2,0,12,10,2,0,0.833333333,0.166666667,0.833333333,0,0.166666667,0,10,0,2,0,0.833333333,0,0.166666667
2,maternal,M_S,23,C11,2C11,2.582,37,37,NA,NA,NA,NA,12,0,12,5,7,7,5,12,0,0.583333333,0.416666667,0,1,0,0,7,5,0,0,0.583333333,0.416666667,0,0
3,maternal,M_S,25,C1,3C1,2.457,45,45,40,0.888889,203000000,8.31,10,2,8,0,8,8,2,10,0,0.8,0,0.2,1,0,0,8,2,0,0,0.8,0.2,0,0
3,maternal,M_S,26,C2,3C2,2.403,26,26,20,0.769231,98700000,7.99,10,0,10,10,0,0,10,10,0,0,1,0,1,0,0,0,10,0,0,0,1,0,0
3,maternal,M_S,28,C4,3C4,2.419,51,51,41,0.803922,49700000,7.7,10,0,10,10,0,0,10,10,0,0,1,0,1,0,0,0,10,0,0,0,1,0,0
3,maternal,M_S,29,C5,3C5,2.519,62,62,52,0.83871,57300000,7.76,10,1,9,9,1,0,10,9,1,0,0.9,0.1,0.9,0,0.1,0,9,0,1,0,0.9,0,0.1
3,maternal,M_S,30,C6,3C6,2.508,18,18,17,0.944444,13300000,7.12,10,0,10,8,2,2,8,10,0,0.2,0.8,0,1,0,0,2,8,0,0,0.2,0.8,0,0
3,maternal,M_S,32,C8,3C8,2.332,33,33,22,0.666667,5000000,6.7,10,3,7,7,3,0,10,7,3,0,0.7,0.3,0.7,0,0.3,0,7,0,3,0,0.7,0,0.3
3,maternal,M_S,33,C9,3C9,2.546,23,23,14,0.608696,24700000,7.39,10,2,8,1,7,7,3,10,0,0.7,0.1,0.2,1,0,0,7,3,0,0,0.7,0.3,0,0
3,maternal,M_S,34,C10,3C10,NA,24,24,18,0.75,4000000,6.6,10,2,8,8,2,0,10,8,2,0,0.8,0.2,0.8,0,0.2,0,8,0,2,0,0.8,0,0.2
3,maternal,M_S,35,C11,3C11,2.283,52,52,40,0.769231,13300000,7.12,10,3,7,5,5,2,8,7,3,0.2,0.5,0.3,0.7,0,0.3,2,5,0,3,0.2,0.5,0,0.3
4,maternal,M_S,56,C2,4C2,2.344,46,46,32,0.695652174,92900000,7.97,10,0,10,9,1,1,9,10,0,0.1,0.9,0,1,0,0,1,9,0,0,0.1,0.9,0,0
4,maternal,M_S,57,C7,4C7,2.146,27,27,18,0.666666667,325000000,8.51,9,0,9,7,2,2,7,9,0,0.222222222,0.777777778,0,1,0,0,2,7,0,0,0.222222222,0.777777778,0,0
4,maternal,M_S,58,C15,4C15,2.222,22,22,10,0.454545455,160000000,8.2,8,0,8,1,7,7,1,7,1,0.875,0.125,0,0.875,0.125,0,7,0,1,0,0.875,0,0.125,0
4,maternal,M_S,59,C22,4C22,2.443,66,66,57,0.863636364,177000000,8.25,11,0,11,11,0,0,11,10,1,0,1,0,0.909090909,0.090909091,0,0,10,1,0,0,0.909090909,0.090909091,0
4,maternal,M_S,60,C10,4C10,2.413,41,41,38,0.926829268,109000000,8.04,10,0,10,10,0,0,10,10,0,0,1,0,1,0,0,0,10,0,0,0,1,0,0
4,maternal,M_S,61,C12,4C12,2.249,15,15,11,0.733333333,64700000,7.81,7,0,7,3,4,4,3,7,0,0.571428571,0.428571429,0,1,0,0,4,3,0,0,0.571428571,0.428571429,0,0
4,maternal,M_S,62,C14,4C14,2.298,41,41,33,0.804878049,100000000,8,6,0,6,2,4,4,2,6,0,0.666666667,0.333333333,0,1,0,0,4,2,0,0,0.666666667,0.333333333,0,0
4,maternal,M_S,63,C4,4C4,2.506,43,43,29,0.674418605,147000000,8.17,10,0,10,9,1,1,9,7,3,0.1,0.9,0,0.6,0.4,0,1,6,3,0,0.1,0.6,0.3,0
4,maternal,M_S,64,C16,4C16,1.906,19,19,17,0.894736842,160000000,8.2,11,0,11,7,4,4,7,11,0,0.363636364,0.636363636,0,1,0,0,4,7,0,0,0.363636364,0.636363636,0,0
4,maternal,M_S,65,C17,4C17,2.344,58,58,47,0.810344828,208000000,8.32,7,0,7,3,4,4,3,7,0,0.571428571,0.428571429,0,1,0,0,4,3,0,0,0.571428571,0.428571429,0,0
4,maternal,M_S,66,C24,4C24,NA,42,42,38,0.904761905,115000000,8.06,7,0,7,6,1,1,6,7,0,0.142857143,0.857142857,0,1,0,0,1,6,0,0,0.142857143,0.857142857,0,0
4,maternal,M_S,67,C3,4C3,2.486,71,71,56,0.788732394,277000000,8.44,9,0,9,8,1,1,8,9,0,0.111111111,0.888888889,0,1,0,0,1,8,0,0,0.111111111,0.888888889,0,0
4,maternal,M_S,68,C5,4C5,2.365,57,57,41,0.719298246,137000000,8.14,10,0,10,10,0,0,10,9,1,0,1,0,0.9,0.1,0,0,9,1,0,0,0.9,0.1,0
4,maternal,M_S,69,C11,4C11,2.359,54,54,41,0.759259259,203000000,8.31,8,0,8,7,1,1,7,8,0,0.125,0.875,0,1,0,0,1,7,0,0,0.125,0.875,0,0
4,maternal,M_S,70,C21,4C21,2.453,64,64,42,0.65625,108000000,8.03,10,0,10,10,0,0,10,8,2,0,1,0,0.8,0.2,0,0,8,2,0,0,0.8,0.2,0
