,Sample_Control,Water_Larvae,Timepoint,Trial,Time_Elaspsed,Treatment,Replicate,Larvae_Start,Larvae_End_Total,Larvae_Sampled,Larvae_End_FIRST,Larvae_End_SECOND,Larvae_End_THIRD,Larvae_End_FOURTH,Density.CFU.mL.,Library_quant
LP25,True Sample,water,12Day,1,12,L0,D,0,0,0,0,0,0,0,3.07E+08,3.74
LP159,True Sample,larvae,12Day,4,12,L2,B,2,2,0,0,0,2,0,43700000,1.51
LP177,True Sample,water,48hr,5,12,L10,D,15,11,11,0,1,2,8,43300000,2.9
LP28,True Sample,water,12Day,1,12,L10,C,10,6,6,0,0,3,3,1.43E+08,1.17
LP134,True Sample,water,12Day,3,12,L10,A,10,6,6,0,0,2,4,26700000,4.17
LP49,True Sample,water,48hr,2,12,L10,C,20,12,12,0,1,0,11,7.00E+07,3.44
LP149,True Sample,water,12Day,4,12,L2,C,2,2,0,0,0,0,2,35300000,61
LP121,True Sample,water,48hr,4,12,L2,D,2,2,0,0,0,0,2,5.70E+07,4.57
LP194,True Sample,water,12Day,5,12,L0,B,0,0,0,0,0,0,0,6.60E+07,27
LP93,True Sample,water,48hr,3,12,L10,A,10,6,6,0,0,2,4,26700000,3.09
LP146,True Sample,water,12Day,4,12,L10,B,15,12,12,0,1,4,7,11700000,7
LP45,True Sample,water,48hr,2,12,L2,C,2,2,2,0,0,1,1,56700000,11
LP46,True Sample,water,48hr,2,12,L2,D,2,2,2,0,1,1,0,1.77E+08,8.8
LP163,True Sample,larvae,12Day,4,12,L10,B,15,12,12,0,1,4,7,11700000,3.67
LP174,True Sample,water,48hr,5,12,L10,A,15,10,9,0,3,2,5,21300000,3.28
LP74,True Sample,water,12Day,2,12,L10,D,20,12,12,0,0,2,10,1.13E+08,13
LP12,True Sample,water,48hr,1,12,L2,D,2,1,1,0,0,0,1,2.13E+08,0.343
LP70,True Sample,water,12Day,2,12,L2,D,2,2,2,0,1,1,0,1.77E+08,2.87
LP170,True Sample,water,48hr,5,12,L0,A,0,0,0,0,0,0,0,38300000,3.08
LP122,True Sample,water,48hr,4,12,L10,A,15,10,10,0,0,5,5,6.00E+06,19
LP172,True Sample,water,48hr,5,12,L0,C,0,0,0,0,0,0,0,1.13E+08,3.58
LP50,True Sample,water,48hr,2,12,L10,D,20,12,12,0,0,2,10,1.13E+08,5.1
LP132,True Sample,water,12Day,3,12,L2,C,2,2,2,0,0,1,1,66700000,1.71
LP19,True Sample,water,12Day,1,12,L2,C,2,0,0,0,0,0,0,2.97E+08,3.87
LP21,True Sample,water,12Day,1,12,L0,A,0,0,0,0,0,0,0,2.00E+08,1.7
LP91,True Sample,water,48hr,3,12,L2,C,2,2,2,0,0,1,1,66700000,1.74
LP150,True Sample,water,12Day,4,12,L2,D,2,2,0,0,0,0,2,5.70E+07,5.5
LP158,True Sample,larvae,12Day,4,12,L2,A,2,2,0,0,0,0,2,38700000,11
LP145,True Sample,water,12Day,4,12,L10,A,15,10,10,0,0,5,5,6.00E+06,4.71
LP43,True Sample,water,48hr,2,12,L2,A,2,2,2,0,0,1,1,1.10E+08,4.17
LP14,True Sample,water,48hr,1,12,L0,B,0,0,0,0,0,0,0,2.93E+08,1.68
LP105,True Sample,larvae,12Day,3,12,L10,A,10,6,6,0,0,2,4,26700000,3.46
LP148,True Sample,water,12Day,4,12,L2,B,2,2,0,0,0,2,0,43700000,11
LP78,True Sample,larvae,12Day,2,12,L2,A,2,2,2,0,0,1,1,1.10E+08,0.836
LP79,True Sample,larvae,12Day,2,12,L2,B,2,1,1,0,0,1,1,1.13E+08,0.076
LP53,True Sample,water,48hr,2,12,L0,C,0,0,0,0,0,0,0,1.37E+08,4.32
LP113,True Sample,water,48hr,4,12,L0,A,0,0,0,0,0,0,0,66700000,0.393
LP87,True Sample,water,48hr,3,12,L0,C,0,0,0,0,0,0,0,1.10E+08,1.61
LP187,True Sample,larvae,12Day,5,12,L10,C,15,10,10,0,3,3,4,4.10E+07,1.31
LP20,True Sample,water,12Day,1,12,L2,D,2,1,1,0,0,0,1,2.13E+08,1.93
LP83,True Sample,larvae,12Day,2,12,L10,C,20,12,12,0,1,0,11,7.00E+07,1.06
LP106,True Sample,larvae,12Day,3,12,L10,C,10,5,5,0,0,1,4,46700000,1.4
LP154,True Sample,water,12Day,4,12,L0,D,0,0,0,0,0,0,0,42300000,9.6
LP204,True Sample,water,12Day,5,12,L10,D,15,11,11,0,1,2,8,43300000,21
LP123,True Sample,water,48hr,4,12,L10,B,15,12,12,0,1,4,7,11700000,21
LP125,True Sample,water,48hr,4,12,L10,D,15,13,13,0,1,2,10,1.20E+07,8.1
LP115,True Sample,water,48hr,4,12,L0,C,0,0,0,0,0,0,0,86700000,0.221
LP13,True Sample,water,48hr,1,12,L0,A,0,0,0,0,0,0,0,2.00E+08,1.17
LP114,True Sample,water,48hr,4,12,L0,B,0,0,0,0,0,0,0,1.43E+08,0.239
LP175,True Sample,water,48hr,5,12,L10,B,15,9,9,0,3,1,5,23300000,1.57
LP131,True Sample,water,12Day,3,12,L2,B,2,2,2,0,0,0,2,1.10E+08,3.43
LP209,True Sample,stock,stock,stock,stock,stock,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.08
LP11,True Sample,water,48hr,1,12,L2,C,2,0,0,0,0,0,0,2.97E+08,1.98
LP102,True Sample,larvae,12Day,3,12,L2,B,2,2,2,0,0,0,2,1.10E+08,0.935
LP88,True Sample,water,48hr,3,12,L0,D,0,0,0,0,0,0,0,1.23E+08,2.55
LP127,True Sample,water,12Day,3,12,L0,B,0,0,0,0,0,0,0,NA,1.36
LP151,True Sample,water,12Day,4,12,L0,A,0,0,0,0,0,0,0,66700000,6.3
LP54,True Sample,water,48hr,2,12,L0,D,0,0,0,0,0,0,0,73300000,3.92
LP17,True Sample,water,12Day,1,12,L2,A,2,2,2,0,1,1,0,2.57E+08,3.5
LP94,True Sample,water,48hr,3,12,L10,B,NA,NA,NA,NA,NA,NA,NA,NA,6.2
LP9,True Sample,water,48hr,1,12,L2,A,2,2,2,0,1,1,0,2.57E+08,1.47
LP143,True Sample,water,12Day,4,12,L10,D,15,13,13,0,1,2,10,1.20E+07,25
LP164,True Sample,larvae,12Day,4,12,L10,C,15,8,8,0,0,3,5,15300000,3.17
LP152,True Sample,water,12Day,4,12,L0,B,0,0,0,0,0,0,0,1.43E+08,11
LP85,True Sample,water,48hr,3,12,L0,A,0,0,0,0,0,0,0,56700000,18
LP27,True Sample,water,12Day,1,12,L10,B,10,5,5,0,0,2,3,1.57E+08,2.79
LP185,True Sample,larvae,12Day,5,12,L10,A,15,10,9,0,3,2,5,21300000,3.37
LP71,True Sample,water,12Day,2,12,L10,B,20,19,19,0,4,9,6,36700000,3.9
LP128,True Sample,water,12Day,3,12,L0,C,0,0,0,0,0,0,0,1.10E+08,1.71
LP178,True Sample,water,48hr,5,12,L2,A,2,1,1,0,1,0,0,8.00E+07,2.24
LP69,True Sample,water,12Day,2,12,L2,C,2,2,2,0,0,1,1,56700000,2.93
LP136,True Sample,water,12Day,3,12,L10,D,10,7,6,0,1,3,3,2.00E+07,0.001
LP26,True Sample,water,12Day,1,12,L10,A,10,8,8,0,0,1,7,86700000,11
LP180,True Sample,water,48hr,5,12,L2,C,2,0,0,0,0,0,0,1.23E+08,1.13
LP4,True Sample,water,48hr,1,12,L10,D,10,2,2,0,0,1,1,3.27E+08,0.545
LP64,True Sample,water,12Day,2,12,L0,C,0,0,0,0,0,0,0,1.37E+08,4.56
LP124,True Sample,water,48hr,4,12,L10,C,15,8,8,0,0,3,5,15300000,4.46
LP179,True Sample,water,48hr,5,12,L2,B,2,1,1,0,1,0,0,1.43E+08,5.5
LP22,True Sample,water,12Day,1,12,L0,B,0,0,0,0,0,0,0,2.93E+08,6.5
LP117,True Sample,water,48hr,4,12,L0,D,0,0,0,0,0,0,0,42300000,1.15
LP176,True Sample,water,48hr,5,12,L10,C,15,10,10,0,3,3,4,4.10E+07,4.74
LP135,True Sample,water,12Day,3,12,L10,C,10,5,5,0,0,1,4,46700000,1.66
LP34,True Sample,larvae,12Day,1,12,L2,B,2,2,2,0,0,0,2,1.63E+08,1.14
LP55,True Sample,water,48hr,2,12,L0,E,0,0,0,0,0,0,0,1.53E+08,1.8
LP89,True Sample,water,48hr,3,12,L2,A,2,2,2,0,0,0,2,46700000,2.99
LP29,True Sample,water,12Day,1,12,L10,D,10,2,2,0,0,1,1,3.27E+08,1.81
LP188,True Sample,larvae,12Day,5,12,L10,D,15,11,11,0,1,2,8,43300000,1.83
LP44,True Sample,water,48hr,2,12,L2,B,2,1,1,0,0,1,1,1.13E+08,8.5
LP37,True Sample,larvae,12Day,1,12,L10,B,10,5,5,0,0,2,3,1.57E+08,0.619
LP199,True Sample,water,12Day,5,12,L2,C,2,0,0,0,0,0,0,1.23E+08,34
LP201,True Sample,water,12Day,5,12,L10,A,15,10,9,0,3,2,5,21300000,22
LP107,True Sample,larvae,12Day,3,12,L10,D,10,7,6,0,1,3,3,2.00E+07,2.8
LP86,True Sample,water,48hr,3,12,L0,B,0,0,0,0,0,0,0,NA,1.99
